date,category,series,value
2020-02-01,overall,us_total,300490
2020-03-01,overall,us_total,260899
2020-04-01,overall,us_total,233008
2020-05-01,overall,us_total,297093
2020-06-01,overall,us_total,380603
2020-07-01,overall,us_total,552214
2020-08-01,overall,us_total,486402
2020-09-01,overall,us_total,437285
2020-10-01,overall,us_total,412450
2020-11-01,overall,us_total,395669
2020-12-01,overall,us_total,347372
2021-01-01,overall,us_total,481995
2021-02-01,overall,us_total,427441
2021-03-01,overall,us_total,453684
2021-04-01,overall,us_total,490008
2021-05-01,overall,us_total,500485
2021-06-01,overall,us_total,451903
2021-07-01,overall,us_total,447318
2021-08-01,overall,us_total,430758
2021-09-01,overall,us_total,433037
2021-10-01,overall,us_total,430737
2021-11-01,overall,us_total,431874
2021-12-01,overall,us_total,420388
2022-01-01,overall,us_total,430729
2022-02-01,overall,us_total,418169
2022-03-01,overall,us_total,418542
2022-04-01,overall,us_total,424911
2022-05-01,overall,us_total,422587
2022-06-01,overall,us_total,412881
2022-07-01,overall,us_total,427241
2022-08-01,overall,us_total,422582
2022-09-01,overall,us_total,427575
2022-10-01,overall,us_total,432834
